1,R10102,1010BAX260; 101A_002,Двигатель без вспомогательных агрегатов (восстановленный),1
2,11011K,"10101AX027,10101AX085, 10101-AX086,THF6629; 102A_002",Уплотнительная прокладка двигателя (ремкомплект),2
3,11042K,"11042AX027,11042AX085; 102A_002",Уплотнительная накладка клапана (ремкомплект),2
4,10102,10102AX260; 101A_002,Двигатель без вспомогательных агрегатов (в сборе),1
5,10103,10103AX260; 101A_002,Короткий блок двигателя (в сборе),1
6,11011C,115100551,Шпилькa,3
7,1110+A,"11110AX010, 11110-AX010",Поддон картера,3
8,1121Z,KA76015000,Герметик,3
9,1128A,"1102601M02, 005568H, CORTECO 005568H, RENAULT 11 02 601 M02",Шайба сливной пробки,3
10,1251N,30417AX000,Заглушка задней пластины двигателя,3
11,1045Q,13049AX000,Всасывающая трубка водяного насоса,3
12,1110,11111AX001,Поддон картера,3
13,1128,"1112801M00,NISSAN 11128-01M0B, STELLOX 75-52508-SX, OHNO YH-0114",Сливная пробка,3
14,1140,"11140AX001, 11140AX002, 11140-AX00A",Датчик уровня масла,3
15,1251,30411AX010,Задняя пластина двигателя,3
16,2279,"122790M300, BGA OS0392, ROADRUNNER RR122794Z001, MUSASHI N2348",Задний сальник коленвала,3
17,2296,12297AX000,Задний фиксатор сальника,3
18,5146,11150AX001,Направляющая датчика уровня масла,3
19,11010A,110532U800,Установочный штифт блока цилиндров,4
20,1010AA,"11053-01M00, LADA 7700872377",Установочный штифт блока цилиндров,4
21,1010C,30412H1001,Установочный штифт блока цилиндров,4
22,1010D,1104673402,Установочный штифт блока цилиндров,4
23,1010G,1102277A00,Установочный штифт блока цилиндров,4
24,1021A,1102472B00,Коническая заглушка,4
25,1023A,1102641B00,Уплотнительная накладка блока цилиндров,4
26,2293+A,12293AX001,Болт крышки коренного подшипника,4
27,5213P,1521321001,Шпилька масляного фильтра,4
28,1010,11000AX201,Блок цилиндров,4
29,2293,12293AX000,Болт крышки коренного подшипника,4
30,5146,11150AX001,Направляющая датчика уровня масла,4
31,5241,"1524101M00, 15241-01M0A",Клапана регулировки давления масла,4
32,11056A,112105821,Болт,5
33,11056AA,112105821,Болт,5
34,13270+A,"13270-AX000,JD JPE-0063, STONE JC-03169",Уплотнительная накладка клапанов двигателя,5
35,11044,"11044-AX200,NISSAN 11044-AX20A, STONE JA-01310",Уплотнительная накладка головки цилиндра,5
36,13264,13264AX000,Крышка коромысла клапана,5
37,13270,"13270-AX060, JD JPE-0063,KIBI ACB020077, ROADRUNNER RR1327041B02",Уплотнительная накладка клапанов двигателя,5
38,13276,"1327653Y00, QML EE-1601, FEBEST NCP-007-PCS4, QUATTRO FRENI QF53A00018",Сальник крышки клапанов двигателя,5
39,13533,"13533-AX000, AHB040020",Уплотнительная накладка масляной магистрали,5
40,15255,"15255-1P110, QUATTRO FRENI QF14A00194",Крышка маслозаливной горловины,5
